Tabelle di saturazione dell'acqua                                             

-,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo
P (bar),T (°C),vL (m^3/kg),vv-vL (m^3/kg),vv (m^3/kg),hL (kJ/kg), hv–hL (kJ/kg),hv (kJ/kg),sL (kJ/kgK),sv–sL (kJ/kgK)                    sv (kJ/kgK)
0.00611,0.01,0.0010002,206.1619,206.1629,0.0,2501.6,2501.6,0.0000,9.1575,9.1575
0.01,6.98,0.0010001,129.2097,129.2107,29.3,2485.0,2514.4,0.1060,8.8706,8.9767
0.02,17.51,0.0010012,67.0106,67.0116,73.5,2460.2,2533.6,0.2606,8.4640,8.7246
0.03,24.10,0.0010027,45.6690,45.6700,101.0,2444.6,2545.6,0.3543,8.2242,8.5785
0.04,28.98,0.0010040,34.8023,34.8033,121.4,2433.1,2554.5,0.4225,8.0530,8.4755
0.05,32.90,0.0010052,28.1935,28.1945,137.8,2423.8,2561.6,0.4763,7.9197,8.3960
0.06,36.18,0.0010064,23.7396,23.7406,151.5,2416.0,2567.5,0.5209,7.8103,8.3312
0.07,39.03,0.0010074,20.5294,20.5304,163.4,2409.2,2572.6,0.5591,7.7176,8.2767
0.08,41.54,0.0010084,18.1028,18.1038,173.9,2403.2,2577.1,0.5926,7.6370,8.2295
0.09,43.79,0.0010094,16.2024,16.2034,183.3,2397.9,2581.1,0.6224,7.5657,8.1881
0.10,45.83,0.0010102,14.6727,14.6737,191.8,2392.9,2584.8,0.6493,7.5018,8.1511
0.15,54.00,0.0010140,10.0211,10.0221,226.0,2373.2,2599.2,0.7549,7.2544,8.0093
0.20,60.09,0.0010172,7.6482,7.6492,251.5,2358.4,2609.9,0.8321,7.0773,7.9094
0.25,64.99,0.0010199,6.2030,6.2040,272.0,2346.4,2618.3,0.8933,6.9390,7.8323
0.30,69.13,0.0010223,5.2280,5.2290,289.3,2336.1,2625.4,0.9441,6.8254,7.7695
0.35,72.71,0.0010245,4.5245,4.5255,304.3,2327.2,2631.5,0.9878,6.7288,7.7166
